Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2021-04-01T00:00:00.000+0200;2021-07-01T00:00:00.000+0200;43,00;45,40;43,00;44,70;44,89;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2021-07-01T00:00:00.000+0200;2021-10-01T00:00:00.000+0200;47,65;48,15;47,60;47,60;47,67;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2021-10-01T00:00:00.000+0200;2022-01-01T00:00:00.000+0100;52,30;52,30;52,05;52,05;51,92;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2022-04-01T00:00:00.000+0200;54,65;54,65;54,65;54,65;54,60;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2022-04-01T00:00:00.000+0200;2022-07-01T00:00:00.000+0200;;;;;46,59;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2022-07-01T00:00:00.000+0200;2022-10-01T00:00:00.000+0200;;;;;48,78;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2022-10-01T00:00:00.000+0200;2023-01-01T00:00:00.000+0100;;;;;53,74;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2023-04-01T00:00:00.000+0200;;;;;54,10;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2023-04-01T00:00:00.000+0200;2023-07-01T00:00:00.000+0200;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2023-07-01T00:00:00.000+0200;2023-10-01T00:00:00.000+0200;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-04T00:00:00.000+0100;2023-10-01T00:00:00.000+0200;2024-01-01T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-05T00:00:00.000+0100;2021-04-01T00:00:00.000+0200;2021-07-01T00:00:00.000+0200;43,50;43,75;42,76;42,85;43,07;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-05T00:00:00.000+0100;2021-07-01T00:00:00.000+0200;2021-10-01T00:00:00.000+0200;46,75;46,75;45,85;45,85;46,00;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-05T00:00:00.000+0100;2021-10-01T00:00:00.000+0200;2022-01-01T00:00:00.000+0100;50,80;51,00;50,30;50,30;50,50;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Q;2021-01-05T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2022-04-01T00:00:00.000+0200;53,10;53,10;53,10;53,10;53,32;;UNVALIDATED;
