Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_WE;2021-01-04T00:00:00.000+0100;2021-01-02T00:00:00.000+0100;2021-01-04T00:00:00.000+0100;;;;;44,59;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-04T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;51,00;52,25;51,00;52,00;51,95;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-04T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-05T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;51,50;51,50;51,00;51,50;51,57;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-05T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-06T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;52,25;52,25;52,25;52,25;52,19;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-06T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;39,50;39,50;39,50;39,50;40,98;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-07T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;53,50;53,50;53,50;53,50;54,12;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-07T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;45,00;45,00;44,25;44,25;44,20;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-08T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;54,50;55,00;54,15;55,00;54,54;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-08T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;52,00;52,00;52,00;52,00;52,07;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-11T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;55,74;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-11T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;50,00;52,75;49,75;52,75;53,03;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-11T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-12T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;51,75;55,00;51,75;55,00;54,85;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-12T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-13T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;57,25;57,35;57,25;57,35;57,75;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-13T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-14T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;58,00;58,00;56,25;56,25;56,65;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-14T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;48,00;48,00;46,00;46,00;46,24;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-15T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;54,50;54,75;53,27;53,27;54,19;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-15T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;46,50;46,50;46,00;46,00;45,35;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-18T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;;;;;54,92;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-18T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;45,75;46,75;45,50;45,50;45,28;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-18T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;39,00;39,00;39,00;39,00;40,28;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-19T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;40,35;41,25;39,00;39,00;39,37;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-19T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;37,50;38,25;37,50;38,25;37,51;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-20T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;42,50;43,25;42,50;43,00;42,33;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-20T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;39,07;39,07;38,25;38,25;38,25;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-21T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;47,20;48,75;47,20;48,75;48,50;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-21T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;36,25;36,80;35,75;36,00;36,67;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-22T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;50,05;50,50;50,00;50,50;50,11;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-22T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;;;;;39,65;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-25T00:00:00.000+0100;2021-01-23T00:00:00.000+0100;2021-01-25T00:00:00.000+0100;;;;;50,44;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-25T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;46,75;46,75;45,20;45,75;45,63;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-25T00:00:00.000+0100;2021-02-06T00:00:00.000+0100;2021-02-08T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-26T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;45,75;45,80;45,75;45,80;46,08;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-26T00:00:00.000+0100;2021-02-06T00:00:00.000+0100;2021-02-08T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-27T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;46,00;46,25;45,80;46,25;45,87;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-27T00:00:00.000+0100;2021-02-06T00:00:00.000+0100;2021-02-08T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-28T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;46,40;46,75;46,40;46,70;46,68;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-28T00:00:00.000+0100;2021-02-06T00:00:00.000+0100;2021-02-08T00:00:00.000+0100;45,00;45,00;45,00;45,00;44,73;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-29T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;47,00;47,00;46,25;46,25;47,36;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-01-29T00:00:00.000+0100;2021-02-06T00:00:00.000+0100;2021-02-08T00:00:00.000+0100;42,25;43,00;41,00;41,00;41,72;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_WE;2021-02-01T00:00:00.000+0100;2021-01-30T00:00:00.000+0100;2021-02-01T00:00:00.000+0100;;;;;48,36;;UNVALIDATED;
