Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_D;2021-01-04T00:00:00.000+0100;2021-01-17T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-05T00:00:00.000+0100;2021-01-06T00:00:00.000+0100;;;;;55,34;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-06T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;52,75;53,00;52,50;53,00;52,68;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;66,50;66,50;63,25;65,25;64,77;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;70,00;70,00;67,00;68,00;68,13;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;;;;;54,91;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;48,23;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;2021-01-12T00:00:00.000+0100;;;;;53,22;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-12T00:00:00.000+0100;2021-01-13T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-13T00:00:00.000+0100;2021-01-14T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-14T00:00:00.000+0100;2021-01-15T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-15T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-17T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-05T00:00:00.000+0100;2021-01-17T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-06T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;;;;;52,68;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;69,25;69,75;67,85;69,50;70,93;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;71,35;73,50;71,35;73,50;73,88;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;;;;;56,50;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;47,88;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;2021-01-12T00:00:00.000+0100;;;;;58,93;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-12T00:00:00.000+0100;2021-01-13T00:00:00.000+0100;;;;;57,48;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-13T00:00:00.000+0100;2021-01-14T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-14T00:00:00.000+0100;2021-01-15T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-15T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-16T00:00:00.000+0100;2021-01-17T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-06T00:00:00.000+0100;2021-01-17T00:00:00.000+0100;2021-01-18T00:00:00.000+0100;;;;;;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-07T00:00:00.000+0100;2021-01-07T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;;;;;70,93;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-07T00:00:00.000+0100;2021-01-08T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;74,50;76,75;74,50;76,75;78,34;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-07T00:00:00.000+0100;2021-01-09T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;;;;;59,30;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_D;2021-01-07T00:00:00.000+0100;2021-01-10T00:00:00.000+0100;2021-01-11T00:00:00.000+0100;;;;;48,94;;UNVALIDATED;
