Identifier;TimeStamp;Begin;End;Open;High;Low;Close;Settlement;Price;ValidationStatus;ChangeComment
EEX_POWER_FUT_DE_BASE_Y;2021-01-11T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;51,30;51,30;50,40;50,90;50,40;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-11T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;50,85;51,10;50,50;50,50;50,63;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-11T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;49,50;49,50;48,90;49,10;49,00;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-11T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;48,93;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-11T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;49,40;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-11T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;49,88;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-12T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;50,50;52,05;50,45;51,60;51,56;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-12T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;50,40;51,50;50,40;51,10;50,91;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-12T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;49,26;49,35;49,15;49,20;49,18;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-12T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;49,10;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-12T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;49,55;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-12T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;50,03;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-13T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;50,45;51,20;49,75;50,50;50,33;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-13T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;50,55;50,55;49,28;49,75;49,57;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-13T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;48,60;48,60;48,15;48,15;48,13;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-13T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;48,05;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-13T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;48,50;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-13T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;48,98;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-14T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;49,98;50,75;49,65;50,25;50,30;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-14T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;49,80;49,95;48,90;49,40;49,29;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-14T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;47,60;47,60;47,30;47,30;47,51;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-14T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;47,38;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-14T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;47,83;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-14T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;48,30;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-15T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;49,70;50,10;48,40;48,55;48,73;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-15T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;49,10;49,10;47,70;47,70;47,77;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-15T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;47,20;47,30;47,05;47,05;46,81;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-15T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;46,78;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-15T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;47,23;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-15T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;47,70;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-18T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;47,95;48,95;47,90;48,35;48,47;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-18T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;47,90;48,10;47,55;47,65;47,91;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-18T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;47,00;47,00;46,70;46,70;46,72;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-18T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;46,63;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-18T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;47,08;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-18T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;47,55;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-19T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;48,75;50,05;48,75;50,05;49,38;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-19T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;48,30;49,00;48,30;49,00;48,60;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-19T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;47,30;47,47;47,25;47,25;47,27;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-19T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;47,15;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-19T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;;;;;47,60;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-19T00:00:00.000+0100;2027-01-01T00:00:00.000+0100;2028-01-01T00:00:00.000+0100;;;;;48,08;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-20T00:00:00.000+0100;2022-01-01T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;50,45;50,60;49,65;49,95;49,96;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-20T00:00:00.000+0100;2023-01-01T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;49,25;49,45;48,75;49,10;49,06;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-20T00:00:00.000+0100;2024-01-01T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;47,75;47,75;47,55;47,55;47,52;;UNVALIDATED;
EEX_POWER_FUT_DE_BASE_Y;2021-01-20T00:00:00.000+0100;2025-01-01T00:00:00.000+0100;2026-01-01T00:00:00.000+0100;;;;;47,28;;UNVALIDATED;
